Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 22-Sep-2020 at 12:54:06.
Created 22-Sep-2020 12:54:06.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000046
 0.0500	 0.000055	 0.002226	 0.000008	 0.000309	-0.000093
 0.0750	 	 	 	 	-0.000180
 0.1000	 0.000266	 0.006348	 0.000039	 0.000978	-0.000267
 0.1250	 	 	 	 	-0.000448
 0.1500	 0.000742	 0.013069	 0.000114	 0.002075	-0.000629
 0.1750	 	 	 	 	-0.000875
 0.2000	 0.001567	 0.020609	 0.000248	 0.003381	-0.001119
 0.2250	 	 	 	 	-0.002215
 0.2500	 0.002841	 0.031427	 0.000460	 0.005231	-0.003303
 0.2750	 	 	 	 	-0.005414
 0.3000	 0.004673	 0.043406	 0.000763	 0.007160	-0.007503
 0.3250	 	 	 	 	-0.009792
 0.3500	 0.007105	 0.055979	 0.001161	 0.009093	-0.012044
 0.3750	 	 	 	 	-0.014496
 0.4000	 0.010179	 0.069663	 0.001656	 0.011089	-0.016892
 0.4250	 	 	 	 	-0.019461
 0.4500	 0.013976	 0.085531	 0.002252	 0.013248	-0.021954
 0.4750	 	 	 	 	-0.024660
 0.5000	 0.018632	 0.104671	 0.002959	 0.015625	-0.027263
 0.5250	 	 	 	 	-0.030210
 0.5500	 0.024327	 0.127921	 0.003788	 0.018203	-0.033014
 0.5750	 	 	 	 	-0.036419
 0.6000	 0.031280	 0.155904	 0.004747	 0.020922	-0.039620
 0.6250	 	 	 	 	-0.043636
 0.6500	 0.039741	 0.189283	 0.005841	 0.023698	-0.047366
 0.6750	 	 	 	 	-0.051942
 0.7000	 0.050016	 0.229599	 0.007070	 0.026469	-0.056127
 0.7250	 	 	 	 	-0.061098
 0.7500	 0.062241	 0.268832	 0.008422	 0.028717	-0.065530
 0.7750	 	 	 	 	-0.070859
 0.8000	 0.076237	 0.302052	 0.009867	 0.030320	-0.075444
 0.8250	 	 	 	 	-0.081232
 0.8500	 0.091704	 0.328965	 0.011377	 0.031392	-0.086025
 0.8750	 	 	 	 	-0.090723
 0.9000	 0.108273	 0.347330	 0.012925	 0.031933	-0.094239
 0.9250	 	 	 	 	-0.097809
 0.9500	 0.125508	 0.356788	 0.014490	 0.032124	-0.099998
 0.9750	 	 	 	 	-0.103429
 1.0000	 0.143075	 0.360955	 0.016060	 0.032185	-0.104604


 -------- Mode No.   2  (freq = 0.10952E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000005
 0.0500	 0.000021	 0.000859	-0.000215	-0.008700	 0.000010
